Epoch,Train Loss,Training Accuracy,Training F1 Score,Validation Loss,Validation Accuracy,Validation F1 Score
1,53737.73,49.07,0.51,8258.28,69.65,0.70
2,62766.89,51.92,0.55,4405.11,83.56,0.83
3,76671.71,51.33,0.55,4372.17,83.90,0.84
4,70314.22,53.97,0.57,4304.16,84.36,0.84
5,65373.15,58.32,0.60,4731.72,83.76,0.84
6,62941.16,58.98,0.60,5334.87,83.04,0.83
7,60176.96,62.36,0.63,4082.34,86.41,0.86
8,59576.75,62.78,0.63,3329.11,88.67,0.89
9,59757.36,64.19,0.65,3527.94,88.62,0.89
10,56663.99,65.51,0.66,3453.14,89.04,0.89
11,51126.51,65.27,0.66,4147.98,87.35,0.87
12,46695.65,68.79,0.69,3362.33,89.96,0.90
13,51503.58,68.59,0.70,3769.86,89.06,0.89
14,39459.60,72.11,0.73,3665.60,89.69,0.90
15,40034.03,72.73,0.74,3882.05,89.37,0.89
16,52508.97,69.37,0.71,3460.25,90.68,0.91
17,51292.86,69.49,0.72,3823.54,90.25,0.90
18,67379.57,66.44,0.70,3539.25,91.17,0.91
19,74302.41,65.69,0.69,3659.84,91.16,0.91
20,65427.25,67.73,0.70,3889.37,90.86,0.91
21,47848.21,73.45,0.75,4018.15,90.75,0.91
22,74665.80,66.63,0.70,3667.40,91.31,0.91
23,50356.62,74.30,0.76,4237.97,90.45,0.90
24,49987.50,74.19,0.76,4671.04,90.00,0.90
25,58748.39,73.09,0.75,4035.46,91.16,0.91
