Epoch,Train Loss,Training Accuracy,Training F1 Score,Validation Loss,Validation Accuracy,Validation F1 Score
1,106720.23,31.74,0.33,12823.23,53.96,0.54
2,139670.31,36.97,0.39,9768.66,63.45,0.63
3,147662.78,38.91,0.42,8389.63,68.32,0.68
4,151989.67,39.41,0.43,7540.10,72.08,0.72
5,151520.42,40.81,0.45,6919.44,74.58,0.74
6,150376.44,41.93,0.46,6529.37,75.94,0.76
7,150415.36,42.86,0.47,6170.73,77.60,0.77
8,149994.53,43.82,0.48,5853.71,78.70,0.78
9,146960.12,44.23,0.48,5571.57,79.88,0.80
10,145034.71,44.84,0.49,5290.71,80.96,0.81
11,145253.99,45.04,0.49,5007.16,81.88,0.82
12,141265.08,45.68,0.50,4777.62,82.54,0.82
13,141133.73,45.79,0.50,4568.31,83.48,0.83
14,141202.43,45.99,0.51,4400.30,84.22,0.84
15,141364.50,46.17,0.51,4273.53,84.59,0.84
16,139633.65,46.55,0.52,4129.46,85.17,0.85
17,137159.49,46.91,0.52,4039.36,85.49,0.85
18,133032.84,47.36,0.52,3955.45,85.75,0.86
19,130241.55,47.87,0.53,3887.22,86.00,0.86
20,127977.04,48.43,0.53,3838.90,86.26,0.86
21,126191.84,48.86,0.54,3761.75,86.53,0.86
22,123215.26,49.43,0.54,3709.23,86.79,0.87
23,119320.45,50.25,0.55,3663.42,86.83,0.87
24,117745.94,50.65,0.55,3612.34,87.07,0.87
25,118001.48,50.87,0.56,3559.74,87.25,0.87
